,is_cold,cpu_info,inst_id,inst_priv_ip,new_id,exist_id,uptime,vm_id,vm_priv_ip,vm_pub_ip,start_time,end_time,elapsed_time,aws_duration,aws_billed_duration,aws_max_mem,io_speed,client_start_time,client_end_time,client_elapsed_time
0,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-250d8d,169.254.76.1,fd7ad074-4827-4aa8-a459-f9a2a945d7ac,b4c61dcf-2934-4a8f-a0df-0362890a4709,"263.71,526.29",sandbox-root-Q33J3o,169.254.16.85,169.254.16.85,1591210922512.439,1591210924354.2861,1841.84716796875,1842.56,1900.0,53.0, 10.5 MB/s,1591210922.4536026,1591210924.3929977,1.9393951892852783
1,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-250d8d,169.254.76.1,aca5a48d-53df-4def-aa91-9662103d4bb0,b4c61dcf-2934-4a8f-a0df-0362890a4709,"369.85,738.28",sandbox-root-Q33J3o,169.254.16.85,169.254.16.85,1591211028647.3464,1591211030477.1567,1829.810302734375,1830.67,1900.0,54.0, 10.9 MB/s,1591211028.5718727,1591211030.5162065,1.944333791732788
2,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-250d8d,169.254.76.1,c46c28e4-7be7-4aa5-8eed-650c21359535,b4c61dcf-2934-4a8f-a0df-0362890a4709,"576.00,1150.10",sandbox-root-Q33J3o,169.254.16.85,169.254.16.85,1591211234803.2825,1591211236640.042,1836.759521484375,1837.43,1900.0,54.0, 10.5 MB/s,1591211234.7344282,1591211236.6789877,1.9445595741271973
3,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-250d8d,169.254.76.1,1064cc71-c2c0-4e82-a01e-e688830bff99,b4c61dcf-2934-4a8f-a0df-0362890a4709,"1167.56,2332.27",sandbox-root-Q33J3o,169.254.16.85,169.254.16.85,1591211826374.148,1591211828230.3047,1856.15673828125,1856.92,1900.0,54.0, 10.9 MB/s,1591211826.2962124,1591211828.268901,1.9726886749267578
4,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-250d8d,169.254.76.1,09e5f66f-bbd6-406c-827f-99ff4096dc97,b4c61dcf-2934-4a8f-a0df-0362890a4709,"1661.07,3318.48",sandbox-root-Q33J3o,169.254.16.85,169.254.16.85,1591212319896.2766,1591212321719.1465,1822.869873046875,1823.53,1900.0,54.0, 10.7 MB/s,1591212319.8220508,1591212321.7569942,1.934943437576294
5,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-250d8d,169.254.76.1,366f0a10-a3c5-4583-a2e6-d592a29d0538,b4c61dcf-2934-4a8f-a0df-0362890a4709,"1846.26,3688.52",sandbox-root-Q33J3o,169.254.16.85,169.254.16.85,1591212505086.0867,1591212506922.8284,1836.74169921875,1837.38,1900.0,54.0, 11.0 MB/s,1591212505.005189,1591212506.9637845,1.9585955142974854
6,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-250d8d,169.254.76.1,541340d4-cddb-4a40-af44-472ec2e1562b,b4c61dcf-2934-4a8f-a0df-0362890a4709,"2297.42,4590.00",sandbox-root-Q33J3o,169.254.16.85,169.254.16.85,1591212956252.5466,1591212958090.622,1838.075439453125,1838.98,1900.0,54.0, 11.0 MB/s,1591212956.179806,1591212958.129831,1.9500250816345215
7,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-250d8d,169.254.76.1,21d4b01d-4944-45b2-9296-91a6a4b4dd2b,b4c61dcf-2934-4a8f-a0df-0362890a4709,"2708.17,5410.71",sandbox-root-Q33J3o,169.254.16.85,169.254.16.85,1591213367010.5889,1591213368838.1067,1827.517822265625,1828.19,1900.0,54.0, 11.0 MB/s,1591213366.9361854,1591213368.8766298,1.9404444694519043
8,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-250d8d,169.254.76.1,34d56ce4-1f93-4380-ab67-25087d75ac67,b4c61dcf-2934-4a8f-a0df-0362890a4709,"2888.12,5770.21",sandbox-root-Q33J3o,169.254.16.85,169.254.16.85,1591213546960.1128,1591213548821.0376,1860.9248046875,1861.69,1900.0,54.0, 10.5 MB/s,1591213546.8731723,1591213548.8581479,1.9849755764007568
9,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-250d8d,169.254.76.1,97238664-415c-4245-a8bd-997674f07dd4,b4c61dcf-2934-4a8f-a0df-0362890a4709,"3085.60,6164.78",sandbox-root-Q33J3o,169.254.16.85,169.254.16.85,1591213744446.2766,1591213746285.2983,1839.021728515625,1839.7,1900.0,54.0, 10.5 MB/s,1591213744.3122497,1591213746.322521,2.0102713108062744
10,True,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-db3506,169.254.76.1,b1aaa5a7-0cc9-4b31-836b-e31e812f9835,b1aaa5a7-0cc9-4b31-836b-e31e812f9835,"122.99,245.17",sandbox-root-oGkSgY,169.254.26.189,169.254.26.189,1591214555255.739,1591214557199.4402,1943.701171875,1944.49,2000.0,53.0, 9.7 MB/s,1591214554.909041,1591214557.2366333,2.327592372894287
11,True,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-29eebb,169.254.76.1,4f836186-eb59-4db1-95e5-625d2cb8a888,4f836186-eb59-4db1-95e5-625d2cb8a888,"1192.58,2383.98",sandbox-root-gjBJca,169.254.179.21,169.254.179.21,1591215234010.1667,1591215235985.3245,1975.15771484375,1975.88,2000.0,53.0, 9.3 MB/s,1591215233.6726928,1591215236.0276484,2.3549556732177734
12,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-29eebb,169.254.76.1,cdd1d64c-ebcf-4408-889a-ef1d505c1ea7,4f836186-eb59-4db1-95e5-625d2cb8a888,"1251.51,2501.62",sandbox-root-gjBJca,169.254.179.21,169.254.179.21,1591215292934.1365,1591215294765.9768,1831.84033203125,1832.5,1900.0,53.0, 10.8 MB/s,1591215292.8744972,1591215294.8072257,1.9327285289764404
