,is_cold,cpu_info,inst_id,inst_priv_ip,new_id,exist_id,uptime,vm_id,vm_priv_ip,vm_pub_ip,start_time,end_time,elapsed_time,aws_duration,aws_billed_duration,aws_max_mem,io_speed,client_start_time,client_end_time,client_elapsed_time
0,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-edb338,169.254.76.1,63f3f5eb-8294-435f-9db1-a2e1f4d6a7b4,d8aabff7-4190-4076-aacf-ec7d2105ecb0,"2167.00,4331.62",sandbox-root-SgEJMi,169.254.210.173,169.254.210.173,1590530039578.8513,1590530041416.15,1837.298583984375,1837.96,1900.0,54.0, 11.0 MB/s,1590530039.5035365,1590530041.4561994,1.9526629447937012
1,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-edb338,169.254.76.1,0fa18714-8fdd-4e16-9cfe-d0b0ce54020e,d8aabff7-4190-4076-aacf-ec7d2105ecb0,"2601.75,5200.33",sandbox-root-SgEJMi,169.254.210.173,169.254.210.173,1590530474331.3386,1590530476181.7595,1850.4208984375,1851.24,1900.0,54.0, 10.5 MB/s,1590530474.2540188,1590530476.2224946,1.9684758186340332
2,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-edb338,169.254.76.1,edaf690d-f876-4b51-884b-5acad589573e,d8aabff7-4190-4076-aacf-ec7d2105ecb0,"2733.60,5463.76",sandbox-root-SgEJMi,169.254.210.173,169.254.210.173,1590530606190.6484,1590530608063.2107,1872.562255859375,1873.31,1900.0,54.0, 10.5 MB/s,1590530606.1159585,1590530608.1040816,1.9881231784820557
3,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-edb338,169.254.76.1,03fbe8f8-0fe3-4660-aca7-d4dfeb3ce85f,d8aabff7-4190-4076-aacf-ec7d2105ecb0,"3040.07,6076.15",sandbox-root-SgEJMi,169.254.210.173,169.254.210.173,1590530912659.9507,1590530914507.4338,1847.483154296875,1848.2,1900.0,54.0, 10.5 MB/s,1590530912.5964866,1590530914.5478528,1.9513661861419678
4,True,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-1cde26,169.254.76.1,5914e069-9a44-46b1-9e51-14f48a3ad015,5914e069-9a44-46b1-9e51-14f48a3ad015,"1364.94,2728.74",sandbox-root-vfXn70,169.254.225.229,169.254.225.229,1590531860197.435,1590531862193.206,1995.77099609375,1996.43,2000.0,53.0, 9.4 MB/s,1590531859.8636312,1590531862.2301147,2.366483449935913
5,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-1cde26,169.254.76.1,fc954783-8d64-4738-91da-cb6c59b745f4,5914e069-9a44-46b1-9e51-14f48a3ad015,"1629.19,3256.70",sandbox-root-vfXn70,169.254.225.229,169.254.225.229,1590532124444.806,1590532126256.3735,1811.567626953125,1812.46,1900.0,54.0, 10.9 MB/s,1590532124.37592,1590532126.2921317,1.9162116050720215
6,True,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-d6cb2a,169.254.76.1,556ca461-bd0d-478f-a198-58be4ab7073b,556ca461-bd0d-478f-a198-58be4ab7073b,"1550.57,3099.93",sandbox-root-maQ3wq,169.254.178.117,169.254.178.117,1590532774365.309,1590532776332.9575,1967.6484375,1968.46,2000.0,53.0, 9.1 MB/s,1590532774.0115385,1590532776.3701174,2.35857892036438
7,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-d6cb2a,169.254.76.1,bc06ecce-ea4f-4174-a5e6-6b29fbe2b805,556ca461-bd0d-478f-a198-58be4ab7073b,"2047.13,4092.11",sandbox-root-maQ3wq,169.254.178.117,169.254.178.117,1590533270933.4778,1590533272777.6738,1844.196044921875,1844.98,1900.0,54.0, 11.8 MB/s,1590533270.8544912,1590533272.812495,1.9580037593841553
8,True,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-92df07,169.254.76.1,b168fbc2-c50e-432b-be62-b3850c3a91e2,b168fbc2-c50e-432b-be62-b3850c3a91e2,"261.98,523.07",sandbox-root-MJZrXX,169.254.26.45,169.254.26.45,1590534524278.3828,1590534526237.8745,1959.49169921875,1960.11,2000.0,53.0, 9.4 MB/s,1590534523.6516418,1590534526.273407,2.62176513671875
9,True,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-652b40,169.254.76.1,81ec1808-bf72-4ef9-a2b4-02729cd74fa2,81ec1808-bf72-4ef9-a2b4-02729cd74fa2,"1787.55,3573.92",sandbox-root-NNQDjm,169.254.208.117,169.254.208.117,1590535188270.8804,1590535190293.7039,2022.823486328125,2023.53,2100.0,53.0, 8.7 MB/s,1590535187.9409463,1590535190.3297527,2.3888063430786133
