,is_cold,cpu_info,inst_id,inst_priv_ip,new_id,exist_id,uptime,vm_id,vm_priv_ip,vm_pub_ip,start_time,end_time,elapsed_time,aws_duration,aws_billed_duration,aws_max_mem,io_speed,client_start_time,client_end_time,client_elapsed_time
0,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-9d7c3f,169.254.76.1,5fe7f07a-7596-4159-9aa9-7bba9a385ef0,d207b8d5-688e-43ca-ba5f-b9d8173f3568,"1533.71,3065.52",sandbox-root-Aexh4x,169.254.42.37,169.254.42.37,1591382300588.5762,1591382302475.9893,1887.4130859375,1888.41,1900.0,54.0, 11.0 MB/s,1591382300.5109854,1591382302.5169866,2.0060012340545654
1,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-9d7c3f,169.254.76.1,83ff67fe-ddaf-4137-bfa1-a99717fdd576,d207b8d5-688e-43ca-ba5f-b9d8173f3568,"1627.04,3251.86",sandbox-root-Aexh4x,169.254.42.37,169.254.42.37,1591382393916.6204,1591382395774.7312,1858.11083984375,1858.81,1900.0,54.0, 10.5 MB/s,1591382393.8542383,1591382395.8149376,1.9606993198394775
2,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-9d7c3f,169.254.76.1,35bc0724-5fdb-4ba8-baec-c51927fbfc41,d207b8d5-688e-43ca-ba5f-b9d8173f3568,"1801.34,3600.04",sandbox-root-Aexh4x,169.254.42.37,169.254.42.37,1591382568220.2715,1591382570054.9492,1834.677734375,1835.56,1900.0,54.0, 10.9 MB/s,1591382568.1520088,1591382570.0957482,1.943739414215088
3,True,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-8cf137,169.254.76.1,6278cb92-9529-46c9-8d29-caa96b4028d9,6278cb92-9529-46c9-8d29-caa96b4028d9,"1375.34,2749.39",sandbox-root-LM0g0k,169.254.117.37,169.254.117.37,1591383696870.3167,1591383698828.6416,1958.324951171875,1959.08,2000.0,53.0, 9.0 MB/s,1591383696.236405,1591383698.8691962,2.63279128074646
4,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-8cf137,169.254.76.1,ba7f9a8f-e8a6-435a-b2ef-4fa157270aa7,6278cb92-9529-46c9-8d29-caa96b4028d9,"1404.21,2806.88",sandbox-root-LM0g0k,169.254.117.37,169.254.117.37,1591383725741.7341,1591383727570.128,1828.393798828125,1829.05,1900.0,53.0, 11.0 MB/s,1591383725.6913357,1591383727.6107168,1.9193811416625977
5,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-8cf137,169.254.76.1,d7122b1f-a6b4-46d3-b0f7-c2a24797904c,6278cb92-9529-46c9-8d29-caa96b4028d9,"1454.64,2907.49",sandbox-root-LM0g0k,169.254.117.37,169.254.117.37,1591383776175.6304,1591383778027.949,1852.318603515625,1852.97,1900.0,53.0, 10.9 MB/s,1591383776.1175137,1591383778.067727,1.9502134323120117
6,True,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-1dae35,169.254.76.1,73f344c0-b6f6-4549-bffb-c4a221933d8b,73f344c0-b6f6-4549-bffb-c4a221933d8b,"2116.69,4231.61",sandbox-root-7escVq,169.254.85.93,169.254.85.93,1591384670328.2578,1591384672376.6592,2048.4013671875,2049.12,2100.0,53.0, 9.0 MB/s,1591384669.9356046,1591384672.416413,2.4808084964752197
7,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-1dae35,169.254.76.1,c435899e-744f-4a6b-b7ba-6afb8ec3fce6,73f344c0-b6f6-4549-bffb-c4a221933d8b,"2243.46,4484.72",sandbox-root-7escVq,169.254.85.93,169.254.85.93,1591384797096.57,1591384798977.4033,1880.833251953125,1881.58,1900.0,54.0, 10.5 MB/s,1591384797.018195,1591384799.0169203,1.998725414276123
8,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-1dae35,169.254.76.1,d6af889c-c6bc-4b3c-9ad3-68e50daa7e00,73f344c0-b6f6-4549-bffb-c4a221933d8b,"2674.22,5345.31",sandbox-root-7escVq,169.254.85.93,169.254.85.93,1591385227864.9397,1591385229740.1294,1875.189697265625,1875.9,1900.0,54.0, 10.9 MB/s,1591385227.794612,1591385229.779463,1.9848511219024658
9,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-1dae35,169.254.76.1,47c96085-b354-4963-992b-fe626deb523f,73f344c0-b6f6-4549-bffb-c4a221933d8b,"3034.12,6064.36",sandbox-root-7escVq,169.254.85.93,169.254.85.93,1591385587762.4478,1591385589641.1404,1878.692626953125,1879.41,1900.0,54.0, 10.5 MB/s,1591385587.6928957,1591385589.6814935,1.9885978698730469
