,is_cold,cpu_info,inst_id,inst_priv_ip,new_id,exist_id,uptime,vm_id,vm_priv_ip,vm_pub_ip,start_time,end_time,elapsed_time,aws_duration,aws_billed_duration,aws_max_mem,io_speed,client_start_time,client_end_time,client_elapsed_time
0,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,cb0a9ea3-3e86-4200-865c-3633f1d815aa,e73a725f-4856-49ea-85c9-d8719bbacfca,"4053.17,8099.56",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591726766818.1567,1591726768686.0054,1867.8486328125,1868.62,1900.0,54.0, 10.5 MB/s,1591726766.7477553,1591726768.7260544,1.9782991409301758
1,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,2569ad95-1398-4f99-b42b-b67c89c68dda,e73a725f-4856-49ea-85c9-d8719bbacfca,"4266.04,8524.85",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591726979685.6414,1591726981606.6477,1921.00634765625,1921.68,2000.0,54.0, 10.9 MB/s,1591726979.6102154,1591726981.6458223,2.035606861114502
2,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,372cb0a7-98b1-4eef-bba8-113de1eb8866,e73a725f-4856-49ea-85c9-d8719bbacfca,"4299.57,8591.66",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591727013222.7385,1591727015087.7153,1864.976806640625,1865.64,1900.0,54.0, 10.9 MB/s,1591727013.1700523,1591727015.128185,1.9581327438354492
3,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,dc546180-c859-4f53-97dd-c58069320cdd,e73a725f-4856-49ea-85c9-d8719bbacfca,"4485.67,8963.40",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591727199326.4517,1591727201228.0132,1901.5615234375,1902.26,2000.0,54.0, 10.2 MB/s,1591727199.262192,1591727201.2683694,2.0061774253845215
4,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,a2707831-1bba-4ced-87ef-0b964b801d82,e73a725f-4856-49ea-85c9-d8719bbacfca,"4607.70,9207.05",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591727321352.9414,1591727323268.2163,1915.27490234375,1915.95,2000.0,54.0, 10.2 MB/s,1591727321.2934184,1591727323.3088999,2.015481472015381
5,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,74ecd672-573f-4d35-b0da-578c21c737c8,e73a725f-4856-49ea-85c9-d8719bbacfca,"4731.35,9453.94",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591727444999.4976,1591727446870.9539,1871.456298828125,1872.12,1900.0,54.0, 10.5 MB/s,1591727444.9386096,1591727446.9119778,1.9733681678771973
6,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,b02ff56e-4438-4a2f-8b0c-d220a66d6f16,e73a725f-4856-49ea-85c9-d8719bbacfca,"5314.62,10619.45",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591728028275.2988,1591728030135.0745,1859.775634765625,1860.44,1900.0,54.0, 10.2 MB/s,1591728028.2067482,1591728030.1788461,1.9720978736877441
7,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,a26b53fd-7269-4873-8ae3-0e989ad8a1ff,e73a725f-4856-49ea-85c9-d8719bbacfca,"5380.51,10751.01",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591728094166.8074,1591728096015.3357,1848.5283203125,1849.18,1900.0,54.0, 11.0 MB/s,1591728094.1101968,1591728096.056715,1.9465181827545166
8,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,d1178aa6-dbb2-43c1-922e-5e47834f8e5d,e73a725f-4856-49ea-85c9-d8719bbacfca,"5851.92,11692.95",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591728565579.939,1591728567421.0674,1841.12841796875,1841.81,1900.0,54.0, 10.5 MB/s,1591728565.4920063,1591728567.4640422,1.9720358848571777
9,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,6e903b7d-794d-4236-ae54-f84ce705f82d,e73a725f-4856-49ea-85c9-d8719bbacfca,"5964.91,11918.56",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591728678573.566,1591728680479.4924,1905.926513671875,1906.64,2000.0,54.0, 10.5 MB/s,1591728678.500674,1591728680.5172071,2.016533136367798
10,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,cea415c4-31ff-45c2-8ffd-2e944deee05c,e73a725f-4856-49ea-85c9-d8719bbacfca,"6180.52,12349.20",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591728894187.0845,1591728896063.5935,1876.509033203125,1876.7,1900.0,54.0, 10.5 MB/s,1591728894.1101148,1591728896.1011531,1.9910383224487305
11,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,e14e55a4-6d16-44ea-ae26-008245ab7700,e73a725f-4856-49ea-85c9-d8719bbacfca,"6222.29,12432.53",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591728935956.746,1591728937822.0579,1865.311767578125,1866.0,1900.0,54.0, 11.0 MB/s,1591728935.902088,1591728937.8626723,1.9605844020843506
12,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,3a2c15ac-45b2-45b1-bd2c-b1060577ca92,e73a725f-4856-49ea-85c9-d8719bbacfca,"6389.97,12767.56",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591729103635.0225,1591729105483.847,1848.824462890625,1849.51,1900.0,54.0, 10.5 MB/s,1591729103.5698347,1591729105.5206633,1.9508285522460938
13,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,e8293aad-c24c-4992-b4ca-480da27f60ec,e73a725f-4856-49ea-85c9-d8719bbacfca,"6514.04,13015.35",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591729227710.5642,1591729229584.1064,1873.542236328125,1874.22,1900.0,54.0, 10.5 MB/s,1591729227.635401,1591729229.6214516,1.9860506057739258
14,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,168367f5-84ca-41c2-9caa-486851a14f54,e73a725f-4856-49ea-85c9-d8719bbacfca,"6598.22,13183.33",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591729311884.6772,1591729313785.1343,1900.45703125,1901.12,2000.0,54.0, 10.5 MB/s,1591729311.8202271,1591729313.822133,2.001905918121338
15,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,ba554a84-32ea-4dee-843a-a2c119c7bea3,e73a725f-4856-49ea-85c9-d8719bbacfca,"6720.63,13427.78",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591729434302.5337,1591729436147.325,1844.791259765625,1844.99,1900.0,54.0, 10.5 MB/s,1591729434.2184072,1591729436.18311,1.964702844619751
16,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-b33a0b,169.254.76.1,0636e8c9-6307-4109-b5d8-d1e970f57171,e73a725f-4856-49ea-85c9-d8719bbacfca,"6828.87,13643.93",sandbox-root-bRp6Rs,169.254.84.13,169.254.84.13,1591729542543.0715,1591729544406.9937,1863.922119140625,1864.64,1900.0,54.0, 10.5 MB/s,1591729542.4701192,1591729544.4433918,1.9732725620269775
17,True,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-019638,169.254.76.1,b211ebe2-9ea6-481c-80e5-13af70df1d33,b211ebe2-9ea6-481c-80e5-13af70df1d33,"955.02,1908.74",sandbox-root-W57FhK,169.254.100.141,169.254.100.141,1591730435024.3586,1591730437025.367,2001.00830078125,2001.72,2100.0,53.0, 9.0 MB/s,1591730434.6631808,1591730437.0617197,2.398538827896118
18,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-019638,169.254.76.1,87bd6495-20e0-4774-a919-2add424f2067,b211ebe2-9ea6-481c-80e5-13af70df1d33,"1506.17,3009.99",sandbox-root-W57FhK,169.254.100.141,169.254.100.141,1591730986179.799,1591730988047.8118,1868.0126953125,1868.77,1900.0,54.0, 10.5 MB/s,1591730986.1085835,1591730988.0845017,1.9759182929992676
19,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-019638,169.254.76.1,d0699cb2-e51c-438d-940e-bb330e68ffca,b211ebe2-9ea6-481c-80e5-13af70df1d33,"1613.07,3223.56",sandbox-root-W57FhK,169.254.100.141,169.254.100.141,1591731093082.775,1591731094907.8965,1825.12158203125,1825.76,1900.0,54.0, 10.9 MB/s,1591731093.0182009,1591731094.9450307,1.9268298149108887
20,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-019638,169.254.76.1,3a4f8cb5-2feb-41a3-a6c8-81bfcb1c2a67,b211ebe2-9ea6-481c-80e5-13af70df1d33,"2163.18,4322.62",sandbox-root-W57FhK,169.254.100.141,169.254.100.141,1591731643196.2124,1591731645071.0823,1874.869873046875,1875.53,1900.0,54.0, 10.5 MB/s,1591731643.1103554,1591731645.1082356,1.997880220413208
