,is_cold,cpu_info,inst_id,inst_priv_ip,new_id,exist_id,uptime,vm_id,vm_priv_ip,vm_pub_ip,start_time,end_time,elapsed_time,aws_duration,aws_billed_duration,aws_max_mem,io_speed,client_start_time,client_end_time,client_elapsed_time
0,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-8772bd,169.254.76.1,5d4931b0-bd10-4fbe-b11f-a301aaa5cddf,4851cec2-bbba-421d-9a56-f60ced04b99c,"3075.23,6145.69",sandbox-root-qGSQ4A,169.254.88.117,169.254.88.117,1592422574080.8103,1592422575931.4448,1850.634521484375,1851.22,1900.0,53.0, 10.8 MB/s,1592422574.0180707,1592422575.9672256,1.9491548538208008
1,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-8772bd,169.254.76.1,b07d933d-41de-4b19-b052-7cbae8782250,4851cec2-bbba-421d-9a56-f60ced04b99c,"3127.21,6249.43",sandbox-root-qGSQ4A,169.254.88.117,169.254.88.117,1592422626059.6204,1592422627910.8127,1851.1923828125,1851.78,1900.0,54.0, 10.8 MB/s,1592422625.9999313,1592422627.9462593,1.9463279247283936
2,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-8772bd,169.254.76.1,8e919c42-5f52-43e2-ae65-e672b4bbe892,4851cec2-bbba-421d-9a56-f60ced04b99c,"3385.03,6764.49",sandbox-root-qGSQ4A,169.254.88.117,169.254.88.117,1592422883877.763,1592422885749.5427,1871.77978515625,1872.47,1900.0,54.0, 11.0 MB/s,1592422883.8114028,1592422885.7845132,1.9731104373931885
3,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-8772bd,169.254.76.1,2a7a1cd9-f946-4d2f-9fce-92a9fb771d71,4851cec2-bbba-421d-9a56-f60ced04b99c,"3679.16,7352.19",sandbox-root-qGSQ4A,169.254.88.117,169.254.88.117,1592423178007.6206,1592423179887.372,1879.75146484375,1880.43,1900.0,54.0, 10.5 MB/s,1592423177.9433844,1592423179.922403,1.9790186882019043
4,True,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-c34957,169.254.76.1,fba28cf5-9c43-489d-9a1f-75b1a9161ef5,fba28cf5-9c43-489d-9a1f-75b1a9161ef5,"280.29,559.64",sandbox-root-lfOfm9,169.254.41.85,169.254.41.85,1592423178737.454,1592423180708.1455,1970.69140625,1971.35,2000.0,53.0, 9.0 MB/s,1592423178.1670117,1592423180.772658,2.6056463718414307
5,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-c34957,169.254.76.1,b1d1e5ba-e9a3-4692-9a06-755c4fbdb2ef,fba28cf5-9c43-489d-9a1f-75b1a9161ef5,"389.46,777.63",sandbox-root-lfOfm9,169.254.41.85,169.254.41.85,1592423287912.14,1592423289748.2085,1836.068603515625,1836.75,1900.0,53.0, 10.7 MB/s,1592423287.8435168,1592423289.7842762,1.9407594203948975
6,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-c34957,169.254.76.1,609797b3-6139-46be-b2c2-239b6e241567,fba28cf5-9c43-489d-9a1f-75b1a9161ef5,"592.08,1182.36",sandbox-root-lfOfm9,169.254.41.85,169.254.41.85,1592423490537.1377,1592423492369.1338,1831.99609375,1832.68,1900.0,54.0, 11.0 MB/s,1592423490.4042792,1592423492.4052804,2.0010011196136475
7,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-c34957,169.254.76.1,aae67e08-9628-4767-a1fc-f72ee0292f26,fba28cf5-9c43-489d-9a1f-75b1a9161ef5,"729.61,1457.13",sandbox-root-lfOfm9,169.254.41.85,169.254.41.85,1592423628064.432,1592423629891.6162,1827.184326171875,1827.87,1900.0,54.0, 11.4 MB/s,1592423627.9982436,1592423629.927191,1.9289474487304688
8,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-c34957,169.254.76.1,23b1caaa-d681-4bbc-8fb4-f95f9c68444e,fba28cf5-9c43-489d-9a1f-75b1a9161ef5,"984.93,1967.15",sandbox-root-lfOfm9,169.254.41.85,169.254.41.85,1592423883386.8247,1592423885211.1492,1824.324462890625,1824.99,1900.0,54.0, 11.0 MB/s,1592423883.3171535,1592423885.24718,1.9300265312194824
9,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-c34957,169.254.76.1,f99777f9-46a3-485d-a81a-2e077e1e8e92,fba28cf5-9c43-489d-9a1f-75b1a9161ef5,"1001.18,1999.52",sandbox-root-lfOfm9,169.254.41.85,169.254.41.85,1592423899632.3662,1592423901471.2751,1838.908935546875,1839.57,1900.0,54.0, 10.6 MB/s,1592423899.578117,1592423901.5072386,1.929121732711792
